symbol,interval,params,profit,profit_pct,total_trades,win_rate,max_drawdown_pct
PILOT_BTC,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.001}",0.1074268172437769,0.01074268172437769,1,100.0,0.007399245606278161
PILOT_BTC,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.001}",0.11867761818120925,0.011867761818120926,1,100.0,0.008467587283644802
PILOT_BTC,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.001}",0.11538492095519359,0.011538492095519359,1,100.0,0.006613807151929786
PILOT_BTC,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.001}",0.059613899605096776,0.005961389960509678,1,100.0,0.006714277926217357
PILOT_BTC,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.002}",0.1040324000585997,0.01040324000585997,1,100.0,0.008461547307024362
PILOT_BTC,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.002}",0.059613899605096776,0.005961389960509678,1,100.0,0.006714277926217357
PILOT_BTC,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.002}",0.1074268172437769,0.01074268172437769,1,100.0,0.007399245606278161
PILOT_BTC,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.002}",0.11538492095519359,0.011538492095519359,1,100.0,0.006613807151929786
PILOT_ETH,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.001}",0.10393055849158372,0.010393055849158372,1,100.0,0.009727422304231965
PILOT_ETH,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.001}",0.14769551079530174,0.014769551079530175,1,100.0,0.007720751903106489
PILOT_ETH,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.001}",0.11436475356936171,0.011436475356936171,1,100.0,0.007576613772607135
PILOT_ETH,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.001}",0.0845125698897391,0.00845125698897391,1,100.0,0.00935331747990259
PILOT_ETH,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.002}",0.11764409807278753,0.011764409807278753,1,100.0,0.009733924342105972
PILOT_ETH,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.002}",0.11436475356936171,0.011436475356936171,1,100.0,0.007576613772607135
PILOT_ETH,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.002}",0.14654593757063594,0.014654593757063595,1,100.0,0.007720320209290588
PILOT_ETH,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.002}",0.0845125698897391,0.00845125698897391,1,100.0,0.00935331747990259
PILOT_BNB,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.001}",0.18649205630310917,0.018649205630310917,1,100.0,0.009468957090674223
PILOT_BNB,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.001}",0.07701141148311308,0.0077011411483113084,1,100.0,0.008058572263505728
PILOT_BNB,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.001}",0.12374975402326527,0.012374975402326528,1,100.0,0.009280922020423424
PILOT_BNB,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.001}",0.12314438561645602,0.012314438561645602,1,100.0,0.006968367679867795
PILOT_BNB,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.002}",0.08954739586999949,0.008954739586999948,1,100.0,0.00806350305287437
PILOT_BNB,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 10, ""sr_proximity_threshold"": 0.002}",0.15132392242583137,0.015132392242583136,1,100.0,0.0094527916333223
PILOT_BNB,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.4, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.002}",0.12374975402326527,0.012374975402326528,1,100.0,0.009280922020423424
PILOT_BNB,5min,"{""fast_ema_period"": 3, ""slow_ema_period"": 5, ""enable_volume_momentum"": true, ""enable_sr_detection"": true, ""enable_sr_filter"": true, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.02, ""position_size"": 0.02, ""volume_spike_factor"": 1.6, ""volume_avg_period"": 20, ""sr_proximity_threshold"": 0.002}",0.12314438561645602,0.012314438561645602,1,100.0,0.006968367679867795
